[05:55:51, 18.07.2020] | [app] >> IO Started
[05:55:52, 18.07.2020] | [app] >> NGROK Started >> https://4809f3dc8d8c.eu.ngrok.io
[05:56:12, 18.07.2020] | [app] >> Express Started
[05:56:12, 18.07.2020] | [app] >> IO Started
[05:56:13, 18.07.2020] | [app] >> NGROK Started >> https://87837d4828b4.eu.ngrok.io
[05:56:24, 18.07.2020] | [app] >> Express Started
[05:56:24, 18.07.2020] | [app] >> IO Started
[05:56:25, 18.07.2020] | [app] >> NGROK Started >> https://ed24e8456859.eu.ngrok.io
[05:58:09, 18.07.2020] | [app] >> Express Started
[05:58:09, 18.07.2020] | [app] >> IO Started
[05:58:10, 18.07.2020] | [app] >> NGROK Started >> https://9a538a4556c8.eu.ngrok.io
[05:58:30, 18.07.2020] | [app] >> Express Started
[05:58:30, 18.07.2020] | [app] >> IO Started
[05:58:31, 18.07.2020] | [app] >> NGROK Started >> https://74178650f223.eu.ngrok.io
[05:58:40, 18.07.2020] | [app] >> Express Started
[05:58:40, 18.07.2020] | [app] >> IO Started
[05:58:40, 18.07.2020] | [app] >> NGROK Started >> https://2a827753f715.eu.ngrok.io
[05:58:47, 18.07.2020] | [app] >> Express Started
[05:58:47, 18.07.2020] | [app] >> IO Started
[05:58:47, 18.07.2020] | [app] >> NGROK Started >> https://79a266a302f7.eu.ngrok.io
[05:58:59, 18.07.2020] | [app] >> Express Started
[05:58:59, 18.07.2020] | [app] >> IO Started
[05:59:00, 18.07.2020] | [app] >> NGROK Started >> https://ae7e83d3885a.eu.ngrok.io
[06:01:39, 18.07.2020] | [app] >> Express Started
[06:01:39, 18.07.2020] | [app] >> IO Started
[06:01:39, 18.07.2020] | [app] >> NGROK Started >> https://58c8448474aa.eu.ngrok.io
[06:03:18, 18.07.2020] | [app] >> Express Started
[06:03:18, 18.07.2020] | [app] >> IO Started
[06:03:19, 18.07.2020] | [app] >> NGROK Started >> https://84ee6c9371c0.eu.ngrok.io
[06:03:46, 18.07.2020] | [app] >> Express Started
[06:03:46, 18.07.2020] | [app] >> IO Started
[06:03:47, 18.07.2020] | [app] >> NGROK Started >> https://437ff12fd7de.eu.ngrok.io
[06:04:20, 18.07.2020] | [app] >> Express Started
[06:04:20, 18.07.2020] | [app] >> IO Started
[06:04:21, 18.07.2020] | [app] >> NGROK Started >> https://3d58ecd81a5e.eu.ngrok.io
[06:04:57, 18.07.2020] | [app] >> Express Started
[06:04:57, 18.07.2020] | [app] >> IO Started
